collection_year,published_shows,documented_shows,cite_path
2002,57,25,/shows#archive-coverage
2003,51,24,/shows#archive-coverage
2004,40,21,/shows#archive-coverage
2005,67,44,/shows#archive-coverage
2006,110,88,/shows#archive-coverage
2007,190,90,/shows#archive-coverage
2008,227,185,/shows#archive-coverage
2009,181,158,/shows#archive-coverage
2010,128,111,/shows#archive-coverage
2011,325,112,/shows#archive-coverage
2012,722,218,/shows#archive-coverage
2013,853,410,/shows#archive-coverage
2014,912,529,/shows#archive-coverage
2015,957,643,/shows#archive-coverage
2016,1102,713,/shows#archive-coverage
2017,1251,669,/shows#archive-coverage
2018,1229,696,/shows#archive-coverage
2019,1234,780,/shows#archive-coverage
2020,1055,750,/shows#archive-coverage
2021,924,193,/shows#archive-coverage
2022,1124,469,/shows#archive-coverage
2023,1366,697,/shows#archive-coverage
2024,1458,726,/shows#archive-coverage
2025,1073,629,/shows#archive-coverage
2026,1173,660,/shows#archive-coverage
